Episode no = 420; won: False; Q(s,a) = 30.60011646982491; reward = -429.0; and epsilon = 0.944, win percentage = 0.0, 2022-05-01 19:38:14
Episode no = 430; won: False; Q(s,a) = 35.168054554154665; reward = -492.0; and epsilon = 0.9426666666666667, win percentage = 0.0, 2022-05-01 19:38:17
Episode no = 440; won: False; Q(s,a) = nan; reward = -483.0; and epsilon = 0.9413333333333334, win percentage = 0.0, 2022-05-01 19:38:22
Episode no = 450; won: False; Q(s,a) = nan; reward = -481.0; and epsilon = 0.94, win percentage = 0.0, 2022-05-01 19:38:25
Episode no = 460; won: False; Q(s,a) = 22.318676196336533; reward = -410.0; and epsilon = 0.9386666666666666, win percentage = 0.0, 2022-05-01 19:38:29
Episode no = 470; won: False; Q(s,a) = nan; reward = -499.0; and epsilon = 0.9373333333333334, win percentage = 0.0, 2022-05-01 19:38:32
Episode no = 480; won: False; Q(s,a) = 29.232057580534384; reward = -351.0; and epsilon = 0.9359999999999999, win percentage = 0.0, 2022-05-01 19:38:35
Episode no = 490; won: False; Q(s,a) = 28.091424317629794; reward = -468.0; and epsilon = 0.9346666666666666, win percentage = 0.0, 2022-05-01 19:38:38
Episode no = 500; won: False; Q(s,a) = 14.430982352024326; reward = -462.0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2022-05-01 19:38:41
Episode no = 510; won: False; Q(s,a) = 33.49955046815758; reward = -392.0; and epsilon = 0.9319999999999999, win percentage = 0.0, 2022-05-01 19:38:46
Episode no = 520; won: False; Q(s,a) = nan; reward = -381.0; and epsilon = 0.9306666666666666, win percentage = 0.0, 2022-05-01 19:38:51
Episode no = 530; won: False; Q(s,a) = -0.08190956678175289; reward = -409.0; and epsilon = 0.9293333333333333, win percentage = 0.0, 2022-05-01 19:38:55
Episode no = 540; won: False; Q(s,a) = 26.5023999212413; reward = -268.0; and epsilon = 0.928, win percentage = 0.0, 2022-05-01 19:39:00
Episode no = 550; won: False; Q(s,a) = 24.562204499537255; reward = -482.0; and epsilon = 0.9266666666666666, win percentage = 0.0, 2022-05-01 19:39:04
Episode no = 560; won: False; Q(s,a) = 37.47869754932173; reward = -373.0; and epsilon = 0.9253333333333333, win percentage = 0.0, 2022-05-01 19:39:08
Episode no = 570; won: False; Q(s,a) = 30.1802687421863; reward = -383.0; and epsilon = 0.924, win percentage = 0.0, 2022-05-01 19:39:11
Episode no = 580; won: False; Q(s,a) = 37.90899238049777; reward = -476.0; and epsilon = 0.9226666666666666, win percentage = 0.0, 2022-05-01 19:39:15
Episode no = 590; won: False; Q(s,a) = nan; reward = -474.0; and epsilon = 0.9213333333333333, win percentage = 0.0, 2022-05-01 19:39:19
Episode no = 600; won: False; Q(s,a) = nan; reward = -486.0; and epsilon = 0.92, win percentage = 0.0, 2022-05-01 19:39:22
Episode no = 610; won: False; Q(s,a) = 44.7061383125317; reward = -459.0; and epsilon = 0.9186666666666666, win percentage = 0.0, 2022-05-01 19:39:25
Episode no = 620; won: False; Q(s,a) = 48.11003765560024; reward = -492.0; and epsilon = 0.9173333333333333, win percentage = 0.0, 2022-05-01 19:39:28
Episode no = 630; won: False; Q(s,a) = 43.68832795035121; reward = -474.0; and epsilon = 0.916, win percentage = 0.0, 2022-05-01 19:39:33
Episode no = 640; won: False; Q(s,a) = nan; reward = -433.0; and epsilon = 0.9146666666666666, win percentage = 0.0, 2022-05-01 19:39:38
Episode no = 650; won: False; Q(s,a) = nan; reward = -491.0; and epsilon = 0.9133333333333333, win percentage = 0.0, 2022-05-01 19:39:42
Episode no = 660; won: False; Q(s,a) = 45.20191300788916; reward = -430.0; and epsilon = 0.912, win percentage = 0.0, 2022-05-01 19:39:46
Episode no = 670; won: False; Q(s,a) = nan; reward = -480.0; and epsilon = 0.9106666666666666, win percentage = 0.0, 2022-05-01 19:39:49
Episode no = 680; won: False; Q(s,a) = 39.386033132941144; reward = -452.0; and epsilon = 0.9093333333333333, win percentage = 0.0, 2022-05-01 19:39:52
Episode no = 690; won: False; Q(s,a) = 34.79824873741731; reward = -477.0; and epsilon = 0.908, win percentage = 0.0, 2022-05-01 19:39:58
Episode no = 700; won: False; Q(s,a) = 41.840223684391184; reward = -437.0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2022-05-01 19:40:02
Episode no = 710; won: False; Q(s,a) = 49.39929368639369; reward = -442.0; and epsilon = 0.9053333333333333, win percentage = 0.0, 2022-05-01 19:40:04
